,Article,Summary
66,a enterprise mobility management solution soti mobicontrol dedicated ensuring tool support effectively manage device after enrolling device manipulate facet device directly soti mobicontrol console adding device soti mobicontrol easy simply use add device rule configure enrollment setting complete enrollment using one method available device type supported device soti mobicontrol support wide range product including android apple linux window wireless printer device refer table full list supported operating system associated platform this platform tab manages device type android plus device running android later including samsung knox device see information io device running io later including iphones ipads ipod touch see information linux device running ubuntu later raspbian later see information printer zebra wireless printer see information window desktop classic desktop device running window earlier see information window mobilece device running ce net later window mobile later pocket pc see information window modern device running window phone later see information parent topic email android plus device running android later including samsung knox device see information io device running io later including iphones ipads ipod touch see information linux device running ubuntu later raspbian later see information printer zebra wireless printer see information window desktop classic desktop device running window earlier see information window mobilece device running ce net later window mobile later pocket pc see information window modern device running window phone later see information email,managing device console device managing
67,device added soti mobicontrol using add device rule an add device rule determines behavior device enroll soti mobicontrol when create add device rule choose device organized devise automatic naming scheme easy device reference establish link device soti mobicontrol due dissimilar nature many device type operating system soti mobicontrol support soti mobicontrol divided different platform manages support specific subset device operating system type add device rule available setting differ across platform refer specific information platform you create multiple add device rule accommodate diverse requirement device department throughout organization however add device rule platform specific therefore create single add device rule target android io device example parent topic related reference email,adding device console device managing adding using
68,before enrolling device organizes device to create add device rule on tab select rule tab rightclick add device select create add device rule follow instruction create add device rule wizard once created add device rule begin managing soti mobicontrol the setting add device rule appear center pane rule tab you edit add device rule point you also disable retains enrollment setting device already enrolled apply new device fit rule criterion parent topic email,creating add device rule console device managing adding creating
69,by default add device rule add device running device agent created specifically rule filter enable broaden restrict device get added rule connect soti mobicontrol there four type add device rule filter rule tag filter ip address filter device property filter firmware version filter rule tag filter rule tag filter restricts rule adding device specific device rule tag when soti mobicontrol device agent generated unique identifier rule tag inserted agent when device agent connects soti mobicontrol deployment server present server rule tag when filter used deployment server add device match rule tag presented agent add device rule soti mobicontrol database in way add device rule used add device using agent specifically created rule this default filter automatically added add device rule created if filter deleted add device rule used configure device using device agent created third party example device agent already installed device come manufacturer device agent created add device rule ip address filter an ip address filter restricts add device rule adding device whose ip address fall within specified range this rule filter useful extra security measure limit connection mean segregating different set device property filter device property filter restricts add device rule adding device specified property minimum operating system version firmware version filter firmware version filter restricts add device rule adding device whose firmware version fall within specified range parent topic email,using add device rule filter console device managing adding usingrulefilters
70,the new setting apply device enrolled change saved previously enrolled device retain current setting to edit add device rule on go rule tab rightclick add device rule want update select edit rule adjust setting desired click ok finished parent topic email,editing add device rule console device managing adding editing
71,deleting add device rule unenroll device enrolled using add device rule note you delete current default add device rule you must deleting to delete add device rule on go rule tab rightclick add device rule want remove select delete rule select ok confirmation dialog parent topic email,deleting add device rule console device managing adding deleting
72,disabling add device rule retains enrollment setting previously enrolled device enroll subsequent device fit criterion default add device rule disabled to disable add device rule on go rule tab rightclick add device rule want disable select disable rule select ok confirmation dialog parent topic email,disabling add device rule console device managing adding disabling
73,the default add device rule device pull enrollment setting enrollment url received specify rule to set new default add device rule on all platform tab go server tab under global setting click wrench icon beside enrollment setting in default add device rule section choose new default add device rule dropdown list beside platform youre interested click ok save new setting parent topic email,changing default add device rule console device managing adding changing default rule
74,soti mobicontrol allows oversee wide variety device type device management supported android io linux window mobile desktop operating system well zebra wireless printer soti mobicontrol divided different platform manages support specific subset device operating system type device enrollment management differs slightly across platform generally must install device communicates soti mobicontrol deployment server the device agent us approximately mb device storage supported device soti mobicontrol support wide range product including android apple linux window wireless printer device refer table full list supported operating system associated platform this platform tab manages device type android plus device running android later including samsung knox device see information io device running io later including iphones ipads ipod touch see information linux device running ubuntu later raspbian later see information printer zebra wireless printer see information window desktop classic desktop device running window earlier see information window mobilece device running ce net later window mobile later pocket pc see information window modern device running window phone later see information additional enrollment method soti mobicontrol stage soti mobicontrol stage allows enroll device using barcode scanner it available android plus window mobilece device see information unified enrollment unified enrollment provides enrollment launch point common device manufacturer across platform it available android plus io window modern device see information parent topic email android plus device running android later including samsung knox device see information io device running io later including iphones ipads ipod touch see information linux device running ubuntu later raspbian later see information printer zebra wireless printer see information window desktop classic desktop device running window earlier see information window mobilece device running ce net later window mobile later pocket pc see information window modern device running window phone later see information email,enrolling device console device managing enrolling
75,the soti mobicontrol device agent application developed soti provide additional level device management through device agent administrator access wealth device information control for device user device agent serf primary entry point soti mobicontrol the device agent installed device enrollment process it communicates soti mobicontrol deployment server exchange information device push change device user access application catalog content library device agent device agent used android plus io linux window desktop classic window mobilece platform they consume around mb device storage the printer window modern platform employ method communicate soti mobicontrol server platform minimum device agent version get latest device agent version android plus io linux download soti mobicontrol console window desktop classic same version soti mobicontrol server download soti mobicontrol console window mobilece same version soti mobicontrol server download soti mobicontrol console parent topic email android plus io linux download soti mobicontrol console window desktop classic same version soti mobicontrol server download soti mobicontrol console window mobilece same version soti mobicontrol server download soti mobicontrol console email,device agent console device managing enrolling deviceagent
76,to establish persistence connection device agent deployment server click device name open device information panel switch configuration tab scroll advanced configuration table beside connection setting click more edit open connection setting dialog box modify setting needed click ok save new setting note you also modify connection setting device group level following general step open group information panel edit connection setting advanced configuration table configuration tab you need modify setting applicable device family present device group parent topic email,configuring connection setting console device managing enrolling agent connection setting
77,the priority deployment server determines order device agent attempt another connection main deployment server unavailable you assign priority level multiple deployment server create load balancing pool support large number device note this procedure applicable multiple deployment server installed use site name to set change priority deployment server click device name open device information panel switch configuration tab scroll advanced configuration table beside deployment server priority click more edit open deployment server priority list dialog box modify setting needed click ok save new setting note you also modify deployment server priority device group level following general step open group information panel edit deployment server priority advanced configuration table configuration tab you need modify setting applicable device family present device group parent topic email,setting deployment server priority console device managing enrolling d priority
78,to download install latest soti mobicontrol device agent device specify network device use download device agent if upgrading single device click device whose agent want upgrade open device information panel if upgrading multiple device within single device group device group containing device whose agent want upgrade click more group information open group information panel switch configuration tab under advanced configuration table click more edit beside agent upgrade setting entry agent upgrade setting dictated device family within group must perform step separately device family whose agent want upgrade enable network want permit device download agent click ok save setting close detail dialog select device whose agent want upgrade click enable agent upgrade icon device action menu bar click more menu button see full device action list if applicable click warning message bottom dialog box see selected device allow agent upgrade click enable agent upgrade with device still selected click upgrade agent now icon device action menu bar click more menu button see full device action list if applicable click warning message bottom dialog box see soti mobicontrol push agent selected device click upgrade agent now device date agent download install latest available agent parent topic email,upgrading device agent console device managing enrolling device agent upgrade
79,use android plus platform enroll manage device running android later once created must install device enroll soti mobicontrol you enroll organize device using ldap idp backed ldap connection after configured soti mobicontrol set add device rule enroll device specific device group based ldap idp group you also use ldap idp group device authentication android enterprise feature android allows standardize management android device used corporate purpose enabling work feature enrolled android device allows soti mobicontrol leverage android operating system managed google play store device management scenario these management feature available device running android later see information samsung knox samsung knox collection security enhancement available samsung device soti mobicontrol support samsung knox mobile enrollment bulk enrollment service samsung knox workspace secure container separate personal data enterprise data see either information note in soti mobicontrol console samsung knox generally refers device samsung knox workspace container enabled parent topic email,adding android plus device console device managing enrolling platform androidplus
80,the android plus applies enrollment setting specified add device rule to enroll android plus device soti mobicontrol use one following method install android plus device agent device download device agent google play store download device agent soti mobicontrol console page for samsung device download device agent samsung galaxy apps once installed open device agent device enter enrollment id enrollment url the enrollment id enrollment url found rule tab information pane follow instruction device agent configuration applet your device enrolled soti mobicontrol communicate soti mobicontrol deployment server parent topic email,enrolling android plus device console device managing enrolling platform aplus enroll
81,make sure device install nongoogle play store application in device setting usually security ensure unknown source allow installation apps unknown source checked to sideload android plus device agent onto android plus device create make sure select download directly server device agent section wizard correct device agent selected on rule tab rightclick add device rule select download device agent select appropriate manufacturer dropdown list click download ini file download apk file save file computer tip you also download android device agent copy downloaded file root directory sd card directly device downloads folder on device navigate device agent apk file install open device agent enter enrollment id corresponding add device rule follow instruction device agent configuration applet complete enrollment if used mcsetupini file enrollment id prepopulated device agent configuration parent topic email,sideloading android plus device agent console device managing enrolling platform aplus enroll sdcard
82,this procedure requires internet connection if soti mobicontrol deployment device offline see offline alternative physical interaction device required ensure device trusted location trusted representative available nearby the previous platformsigned samsung device agent longer supported soti mobicontrol if upgrading soti mobicontrol earlier deployment contains samsung device using platformsigned agent must migrate device samsung enterprise license management elm agent the samsung elm agent provides advanced policy part samsungs elm standardized mdm policy list the samsung elm agent supported device running android later note when migrating entire device group migration skip device already using elm agent using nonsamsung agent samsung device support elm to migrate device elm agent on android plus tab select device tab rightclick device group select agent upgrade migrate elm agent send soti mobicontrol elm agent supported device perform step device select accept prompted initiate activation elm complete migration there may multiple prompt depending device model operating system device policy applied device rolled back reapplied migration process if experience issue device policy migration verify reapplied correctly script command toggle setting rolled back soti mobicontrol android plus agent store script command previously applied some script command supported elm agent therefore may work migration review profile filter criterion android plus profile ensure targeted nonelm agent note if migration elm agent fails elm agent install device elm activation unsuccessful nonelm agent reapply device policy rolled back revert original state prior attempting elm migration parent topic email,migrating device elm agent console device managing enrolling platform agent migrate elm
83,if deployment offline still possible manage samsung device you must contact samsung representative request installation samsung on premise activation server once onpremises activation server set use activate soti mobicontrol enterprise license management elm device agent note onpremises activation samsung knox license supported device support samsung knox later parent topic email,samsung onpremises activation server console device managing enrolling platform samsung onpremise server
84,you must already set switching elm configuration type custom the samsung enterprise license management elm configuration control license samsung elm agent samsung knox container activated there two type elm configuration standard elm activated via samsungs cloudhosted activation server custom elm activated via offline deployment note elm license activation core aspect samsung device management exercise caution modifying setting to edit samsung elm configuration on all platform tab select server tab under global setting click wrench icon beside samsung elm configuration change elm configuration type either standard custom if selected custom enter custom key provided set onpremises activation server click ok save new activation setting close dialog box parent topic email,editing samsung elm configuration console device managing enrolling platform samsung elm configuration
85,soti mobicontrol support activation use samsung knox workspace samsung device samsung knox workspace secure container contains enterprise data phone separating personal data you use soti mobicontrol manage corporate data within container samsung knox workspace available samsung device the samsung device must support api knox later visible device information panel enable container samsung device samsung knox workspace container activated subsumed within android plus platform enrollment remote control device management performed within android plus platform you must use samsung knox feature device note samsung knox mobile enrollment another component samsung mdm platform completely independent samsung knox workspace you need enable one use see information parent topic email,using samsung knox container console device managing enrolling platform knox container
86,you must purchase samsung knox workspace license use samsung knox workspace feature device you purchase either perpetual license monthly license once purchased license must use device use knox license manager available help button upper right corner soti mobicontrol console review license perpetual license onetime fee per device valid forever however device activated perpetual samsung knox workspace license tied license forever if device damaged lost stolen license released need purchase new license replacement device monthly license temporary license must renewed monthly basis if license renewed samsung knox container feature become nonfunctional single license key activate multiple device onpremises samsung knox license activation samsung knox license activation supported within offline onpremises environment device knox capable higher you must set use samsung knox workspace parent topic email,samsung knox license manager console device managing enrolling platform knox container license manager
87,soti mobicontrol if activating license onpremises environment must set complete step you must also samsung elm configuration dialog box valid samsung knox workspace license required operate samsung knox workspace feature device contact samsung reseller account manager obtain license to activate samsung knox workspace license click button upper right corner soti mobicontrol console from dropdown menu select knox license manager in knox license manager dialog box select order tab click add enter required information appropriate field click ok you ready start leveraging functionality samsung knox container use add delete button update license parent topic email,adding samsung knox workspace license soti mobicontrol console device managing enrolling platform knox container activate license
88,once purchased license samsung knox workspace enable container samsung device support feature to activate samsung knox container determine samsung device support samsung knox container version different version slightly different functionality refer device information panel device if samsung knox later visible supported apis supported android plus platform android plus samsung knox type device add knox container profile save assign profile samsung device check targeted device make sure container applied the samsung knox container active device if want samsung knox container select samsung knox type dropdown android plus add profile dialog box parent topic email,activating samsung knox container your device console device managing enrolling platform knox container activate
89,the android operating system several builtin feature designed facilitate easier device management within enterprise deployment the flexibility android continues work feature whether mobility strategy bring device purpose built device mix android solution in soti mobicontrol android device work feature enabled managed android plus banner android enterprise enrollment remotecontrol device configuration performed android plus unless noted android device work feature enabled generally accomplish anything regular android device work feature available device running android later however android functionality provided using android enterprise client must installed separately device beginning android work feature native android operating system device management type there two type device management android device work feature enabled work managed device work profile work managed device android device entire device managed enterprise control it grant administrator extensive level control device must configured work managed device initial setup device work profile device portion device dedicated enterprise apps data the rest device devoted personal apps data two section remain separated a device user ultimate control limitation device management scenario compared work managed device account type when enrolling device soti mobicontrol choose two type account android device work feature enabled google managed account managed google play account you also choose skip google account creation entirely only choose skip option device require access managed google play store google managed account userbased best situation device associated single user lifetime see information managed google play account device based best situation device used multiple user kiosk environment see information parent topic email,adding android device work feature enabled console device managing enrolling platform afw
90,google managed account userbased best situation device associated single user lifetime to use google managed account must grant soti mobicontrol permission manage device the google admin console google central location managing google enterprise service see information each device plan enroll soti mobicontrol must associated user account exists active directory google properly deploy application device within google admin console organization grant access management android device domain management access based user domain must registered google admin console an android device work feature managed soti mobicontrol device user domain belong registered google admin console note ldap required using google managed account device once set user domain google admin console must bind domain soti mobicontrol enroll manage android device work feature enabled parent topic email,using google managed account console device managing enrolling platform afw gma
91,soti mobicontrol to link google domain soti mobicontrol perform step in user section enter user whose device want manage soti mobicontrol alternatively sync user active directory credential in domain section enter primary domain applicable secondary domain want manage soti mobicontrol you must verify ownership domain click continue verify domain ownership google provides several method verify domain ownership once successfully verified ownership domain return home page google admin console in security section select manage emm provider android page request management token also called mdm token this mdm token prof google soti mobicontrol authorized managed android device domain perform step soti mobicontrol console on all platform tab go server tab under global setting select android enterprise binding open configure android enterprise binding dialog box click new button select google domain the add android enterprise binding dialog box open in add android enterprise binding dialog box enter primary domain mdm token string appropriate field an mdm token used single instance soti mobicontrol manage single primary domain however mdm token used bind soti mobicontrol instance multiple secondary domain if applicable specify secondary domain click save new enterprise binding close add android enterprise binding dialog box the new enterprise binding added configure android enterprise binding dialog box click close save enterprise binding close configure android enterprise binding dialog box soti mobicontrol authorized manage android device specified domain you soti mobicontrol parent topic email,linking your google domain soti mobicontrol console device managing enrolling platform afw link google mc
92,soti mobicontrol you must delete associated domain unbind android enterprise binding permission google admin console required soti mobicontrol manage android device enabled work feature this procedure remove permission to unlink google domain soti mobicontrol on all platform tab go server tab under global setting select android enterprise binding open configure android enterprise binding dialog box select domain want delete ensure active tab click delete yes confirmation box parent topic email,unlinking your google domain soti mobicontrol console device managing enrolling platform afw link delete google mc
93,managed google play account device based best situation device used multiple user kiosk environment to use managed google play account device must create enterprise set user device administrator account organizes enterprise apps device you create multiple enterprise best accommodate structure organization google account one enterprise you create enterprise soti mobicontrol another valid enterprise mobility management provider once enterprise set soti mobicontrol enroll device using add device rule ldap optional managing device managed google play account once device connects enterprise managed google play account automatically created within associated enterprise applied device note when device managed google play account unenrolled deleted associated enterprise unbound account policy removed device parent topic email,using managed google play account console device managing enrolling platform afw mgpa
94,soti mobicontrol to add google managed enterprise connection soti mobicontrol in legacy console all platform tab go server tab under global setting select android enterprise binding open configure android enterprise binding dialog box click new dropdown select managed enterprise soti mobicontrol redirect google enterprise portal perform next part setup you returned soti mobicontrol setup successful sign google account want enterprise use currently signedin account click sign different account enter another account each google account one enterprise click get started enter name organization read accept managed google play agreement click confirm click complete registration return soti mobicontrol once soti mobicontrol register successfully created connected enterprise automatically update close configure android enterprise binding dialog box note you add multiple managed enterprise soti mobicontrol must created different google account parent topic email,adding google managed enterprise soti mobicontrol console device managing enrolling platform afw mgpa enterprise create
95,soti mobicontrol you must delete associated enterprise delete managed enterprise to remove google managed enterprise connection soti mobicontrol in legacy console all platform tab go server tab under global setting select android enterprise binding open configure android enterprise binding dialog box select managed enterprise want delete ensure active tab click delete click yes confirmation dialog box once connection removed soti mobicontrol lose ability manage police android device associated enterprise note this procedure remove enterprise connection soti mobicontrol you still need remove within managed google play console delete completely parent topic email,deleting google managed enterprise soti mobicontrol console device managing enrolling platform afw mgpa enterprise delete
96,this procedure enrolling work managed device if want enroll android device work profile follow ensuring select android enterprise device agent note for work managed device android enterprise device agent must downloaded initial device setup if device agent downloaded device setup complete device activated work profile must factory reset device begin to enroll android device soti mobicontrol work managed device download install android enterprise device agent device use soti mobicontrol stage programmer app available google play store provision device via nfc bump qr code add google account managed company initial device setup wizard enter soti emm token identifier afwmobicontrol prompted add google account follow instruction parent topic email,enrolling android work managed device console device managing enrolling platform afw enrolling
97,soti mobicontrol plugins android enterprise device significantly increase management capability device plugin installed new feature include remote control managed device additional feature control option script command apn support note supported functionality differs different device manufacturer always ensure correct manufacturer model selected device to install android enterprise plugin android enterprise device in browser go page select android enterprise agent plugins select appropriate manufacturer device manufacturer dropdown list select download soti mobicontrol package file pcg computer distribute android enterprise plugin package android enterprise device using profile parent topic email,installing android enterprise plugins console device managing enrolling platform afw install plugin
98,the samsung knox mobile enrollment kme platform allows administrator quickly easily bulk enroll samsung android device apply mdm policy minimal device user interaction after configure samsung kme link soti mobicontrol instance device automatically enrolled soti mobicontrol soon activated samsung kme supported samsung android device running samsung knox later see information note the samsung knox workspace secure container another component samsung mdm platform completely independent samsung knox mobile enrollment you need enable one use see information parent topic email,using samsung knox mobile enrollment console device managing enrolling platform knox mobile enrollment
99,soti mobicontrol you must enrolled samsung knox mobile enrollment kme program link soti mobicontrol enroll device see information adding device samsung kme program note part procedure performed thirdparty therefore subject change without notice refer latest information to enroll samsung kme device soti mobicontrol in soti mobicontrol console create enrollment setting want applied samsung device make note enrollment id visible information panel add device rule in samsung knox mobile enrollment portal create new mdm profile soti mobicontrol instance on mdm profile tab click add open create mdm profile dialog box select server ui required mdm option choose one following soti mobicontrol device agent install device download page samsung elm android enterprise upload device agent samsung kme portal mdm application select enable app google device owner option using android enterprise device agent optional add json configuration contains enrollment id applicable add device rule device automatically choose apply correct enrollment setting activated copy json configuration appropriate device agent see custom json data defined mdm field important the format json configuration strict differs samsung elm agent android enterprise agent follow format device agent exactly presented aaaaaa replaced actual enrollment id add device rule device agent json configuration format samsung elm enrollmentid aaaaaa android enterprise enrollmentid aaaaaa if add json configuration mdm profile becomes restricted single add device rule need create new profile enroll device using another add device rule save new mdm profile select device want managed soti mobicontrol assign mdm profile when activate samsung android device automatically download soti mobicontrol agent enroll soti mobicontrol according setting specified add device rule note unenrolling deleting device soti mobicontrol remove samsung kme portal if add json configuration mdm profile need send enrollment id add device rule separately device user parent topic email samsung elm enrollmentid aaaaaa android enterprise enrollmentid aaaaaa email,enrolling samsung knox mobile enrollment device soti mobicontrol console device managing enrolling platform knox link
100,use io platform enroll manage device running io later including iphones ipads ipod touch you must soti mobicontrol create once installed certificate created add device rule create containing device agent pushed device immediately enrolls soti mobicontrol you use ldap idp backed ldap enroll device after configured enroll device specific device group based ldap idp group you also use ldap idp group device authentication apple device enrollment program the apple device enrollment program dep program built apple enables easily securely enroll io device soti mobicontrol minimal device user interaction see information apple dep refer instruction set dep soti mobicontrol you combine dep seamlessly soti mobicontrol feature io exception idp dep support saml note the dep part also includes parent topic email,adding io device console device managing enrolling platform io
101,the apple push notification service apns allows soti mobicontrol deployment server request enrolled io device check the check process allows take advantage advanced management feature io device including retrieving device information applying configuration policy the connection soti mobicontrol apns securely established installing apns certificate parent topic email,using apple push notification service console device managing enrolling platform io apns
102,soti mobicontrol console note ignore procedure already installed apns certificate initial setup soti mobicontrol to install apple push notification service apns certificate soti mobicontrol using soti mobicontrol console on all platform tab select server tab under global setting click wrench icon beside apple push notification service follow step detailed io apns certificate generator dialog box you need provide password using pfx certificate pem certificate require one click ok save setting close dialog box you enroll io device apns certificate valid one year always ensure renew certificate expiration date if certificate expires device must reenrolled important to renew apns certificate follow step installing however select renew apple push certificate portal always ensure renewing certificate generating new one generating new certificate force io device reenroll parent topic email,installing apns certificate through soti mobicontrol console device managing enrolling platform io apns install
103,soti mobicontrol certificate if certificate bound deployment server extension web console io profile signing trusted thirdparty certificate setting require trust profile during enrollment turned follow instruction you must establishes enrollment setting complete procedure additionally want install device agent device create includes device agent app store targeted device immediately download agent upon enrolling note on device running io later receive warning prompt whenever enrollment service request access setting app tap allow continue to enroll io device using enrollment web service on io tab select rule tab select add device rule want use enrolling io device make sure detail displayed information section make note enrollment url on io device open safari enter enrollment url address bar if receive popup stating browser verify server identity click continue ignore proceed io enrollment service web page if add device rule configured ldap enter applicable credential tap step begin downloading soti mobicontrol trust profile this profile installs soti mobicontrol root ca certificate io device it required verify soti mobicontrol device enrollment profile tap install initiate download once trust profile finished downloading tap install trust profile continue enrollment process complete step device running io later on io device navigate setting general about certificate trust setting activate enable full trust root certificate downloaded previous step return safari tap step download soti mobicontrol device enrollment profile tap allow install soti mobicontrol device enrollment profile when tap install receive warning message brief description purpose soti mobicontrol device enrollment profile tap trust continue the installation process soti mobicontrol device enrollment profile includes several automatic step require user interaction once profile finished installing device tap done you returned safari browser see enrollment successful parent topic email,enrolling io device using soti mobicontrol certificate console device managing enrolling platform io enroll agentless
104,if certificate bound deployment server extension web console io profile signing trusted thirdparty certificate setting require trust profile during enrollment turned follow instruction you must establishes enrollment setting complete procedure additionally want install device agent device create includes device agent app store targeted device immediately download agent upon enrolling note on device running io later receive warning prompt whenever enrollment service request access setting app tap allow continue to enroll io device using enrollment web service on io tab select rule tab select add device rule want use enrolling io device make sure detail displayed information section make note enrollment url on io device open safari enter enrollment url address bar if add device rule configured ldap enter applicable credential tap step download soti mobicontrol device enrollment profile tap allow install soti mobicontrol device enrollment profile when tap install receive warning message brief description purpose soti mobicontrol device enrollment profile tap trust continue the installation process soti mobicontrol device enrollment profile includes several automatic step require user interaction once profile finished installing device tap done you returned safari browser see enrollment successful parent topic email,enrolling io device using thirdparty certificate console device managing enrolling platform io enroll agentless signed cert
105,soti mobicontrol device agent note this enrollment method deprecated to install io device agent device applies enrollment setting detailed add device rule download soti mobicontrol device agent apple app store onto device enter enrollment id appropriate add device rule follow instruction device agent configuration applet your device enrolled soti mobicontrol communicate soti mobicontrol deployment server parent topic email,enrolling io device using soti mobicontrol device agent console device managing enrolling platform io enroll agent
106,the apple device enrollment program dep allows administrator quickly easily enroll io device apply mdm policy minimal device user interaction with dep device set automatically enroll soon activated see information dep once purchased io device apple authorized reseller joined dep link dep account soti mobicontrol apply soti mobicontrol device management policy device shipping device user in addition basic management policy available io device soti mobicontrol dep soti mobicontrol allows skip certain initial setup step supervise device granting control io device to use dep soti mobicontrol must set virtual server device enrollment use enroll dep device soti mobicontrol if enrolling previously activated device must enrolled dep note ensure apple device access host listed soti mobicontrol able use apple push notification parent topic email,using apple device enrollment program console device managing enrolling platform dep appledep
107,soti mobicontrol your apple dep account these high level step must performed apple deployment program portal refer specific detailed instruction to associate soti mobicontrol apple dep account enroll organization apple dep designate administrator account create virtual mdm server link soti mobicontrol deployment server you create multiple virtual mdm server link different soti mobicontrol deployment server assign io device virtual mdm server in soti mobicontrol create io device assigned virtual mdm server configure dep option suited need parent topic email,associating soti mobicontrol your apple dep account console device managing enrolling platform dep add mc
108,soti mobicontrol your apple dep virtual mdm server you must already enrolled apple device enrollment program dep virtual mdm set complete process you must access administrator account dep trusted link apple dep server soti mobicontrol must established device assigned virtual mdm server managed using soti mobicontrol to link soti mobicontrol deployment server virtual mdm server created enroll device dep on all platform tab select server tab under global setting click wrench icon beside apple device enrollment program open apple device enrollment program dialog box click download public key button download public key specific deployment server do close apple device enrollment program dialog box click link step apple device enrollment program dialog box open apple device enrollment program portal new browser tab window upload soti mobicontrol public key create virtual mdm server download dep server token return soti mobicontrol console still open apple device enrollment program dialog box click browse upload dep server token soti mobicontrol click ok establish trusted connection soti mobicontrol dep virtual mdm server close dialog box the dep server token valid one year when token near expiration soti mobicontrol issue reminder download new dep server token parent topic email,linking soti mobicontrol your apple dep virtual mdm server console device managing enrolling platform dep link mc
109,you must already created new consists new enrollment setting if large number device reassign import csv file containing device serial number the first column csv file must serial number second column must device type ipad iphone by default dep device assigned instance soti mobicontrol automatically assigned default io add device rule you reassign device add device rule tailor specific enrollment setting to reassign apple dep device new add device rule on io tab select rule tab rightclick default add device rule select manage dep assignment open manage dep assignment dialog box display device currently assigned selected rule select all dep device dropdown display dep device enrolled soti mobicontrol instance click manage assignment open manage assignment dialog box click add button enter serial number device want reassign serial number field alternatively click import file upload csv file skip next step soti mobicontrol match serial number existing device database populates rest field corresponding information repeat entered device want reassign fix error using edit delete button error caused duplicate entry missing information invalid device assigned instance soti mobicontrol error flagged reassignment proceed resolved once satisfied list device select new add device rule choose action dropdown list click ok save change close manage assignment dialog box ok close manage dep assignment dialog box you review status reassigned device manage dep assignment dialog box the reassignment go effect device next activates parent topic email,managing dep device assignment console device managing enrolling platform dep manage assignment
