,page,link,title,Article,parsed_link,Summary
66,66,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/managing.html,Managing Devices,"As an Enterprise Mobility Management solution, SOTI MobiControl is dedicated to ensuring you have the tools and support to effectively manage your devices. After enrolling your devices you can manipulate most facets of your devices directly through the SOTI MobiControl console. Adding a device to SOTI MobiControl is easy. Simply use an add devices rule to configure enrollment settings and then complete the enrollment using one of the methods available for your device types. Supported Devices SOTI MobiControl supports a wide range of products, including Android, Apple, Linux, Windows, and wireless printer devices. Refer to the table below for a full list of supported operating systems and their associated platforms. This platform tab Manages these device types Android Plus Devices running Android 4.0 or later including Samsung KNOX devices See for more information. iOS Devices running iOS 7.0 or later including iPhones, iPads and iPod Touches See for more information. Linux Devices running: Ubuntu 16.04 or later Raspbian 8.0 or later See for more information. Printers Zebra wireless printers See for more information. Windows Desktop Classic Desktop devices running Windows 8.1 or earlier See for more information. Windows Mobile/CE Devices running: CE .NET 4.2 or later Windows Mobile 5.0 or later Pocket PC 2002 or 2003 See for more information. Windows Modern Devices running Windows 10 or Windows Phone 8 and later. See for more information. Parent topic: © 2019 Email: Android Plus Devices running Android 4.0 or later including Samsung KNOX devices See for more information. iOS Devices running iOS 7.0 or later including iPhones, iPads and iPod Touches See for more information. Linux Devices running: Ubuntu 16.04 or later Raspbian 8.0 or later See for more information. Printers Zebra wireless printers See for more information. Windows Desktop Classic Desktop devices running Windows 8.1 or earlier See for more information. Windows Mobile/CE Devices running: CE .NET 4.2 or later Windows Mobile 5.0 or later Pocket PC 2002 or 2003 See for more information. Windows Modern Devices running Windows 10 or Windows Phone 8 and later. See for more information. © 2019 Email:",console devices managing managing,Managing Devices console devices managing managing
67,67,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/adding/using.html,Adding Devices,"Devices are added to SOTI MobiControl using add devices rules. An add devices rule determines the behavior of your devices as they enroll into SOTI MobiControl . When you create an add devices rule, you can choose how your devices are organized into , devise an automatic naming scheme for easy device reference, and establish a link from the device to SOTI MobiControl through a . Due to the dissimilar nature of the many device types and operating systems that SOTI MobiControl supports, SOTI MobiControl is divided into different Platforms and each platform manages support for a specific subset of device and operating system types. Add devices rules and their available settings differ across platforms. Refer to for specific information on each platform. You can create multiple add devices rules to accommodate the diverse requirements of the devices and departments throughout your organization. However, add devices rules are platform specific, therefore you cannot create a single add devices rule that targets both Android and iOS devices, for example. Parent topic: Related reference © 2019 Email: © 2019 Email:",console devices managing adding using,Adding Devices console devices managing adding using
68,68,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/adding/creating.html,Creating an Add Devices Rule,"Before enrolling your devices, that organizes devices. To create an add devices rule: On tab, select the Rules tab. Right-click Add Devices and select Create Add Devices Rule . Follow the instructions of the Create Add Devices Rule wizard. Once you have created an add devices rules, you can and begin managing them in SOTI MobiControl . The settings for the add devices rule appear in the center pane of the Rules tab. You can edit the add devices rule at any point. You can also disable it which retains the enrollment settings on devices that are already enrolled but will not apply to new devices that fit the rule's criteria. Parent topic: © 2019 Email: © 2019 Email:",console devices managing adding creating,Creating an Add Devices Rule console devices managing adding creating
69,69,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/adding/usingrulefilters.html,Using Add Devices Rule Filters,"By default, an add devices rule adds only those devices that are running a device agent created specifically for that rule. Rule filters enable you to broaden or restrict which devices get added by the rule when they connect to SOTI MobiControl . There are four types of add devices rule filter: a rule tag filter, a IP address filter, a device property filter, and a firmware version filter. Rule Tag Filters A rule tag filter restricts the rule to adding only devices with a specific device rule tag. When a SOTI MobiControl device agent is generated, a unique identifier (rule tag) is inserted into the agent. When the device agent connects to a SOTI MobiControl deployment server, it presents the server with the rule tag. When this filter is used, the deployment server will only add a device if there is a match between the rule tag presented by the agent and an add devices rule in the SOTI MobiControl database. In this way, an add devices rule will be used to add only those devices that are using an agent specifically created for that rule. This is the default filter; it is automatically added when an add devices rule is created. If this filter is deleted, then the add devices rule can be used to configure devices that are using device agents created by third parties (for example when a device agent is already installed on the device when it comes from the manufacturer) or device agents created for other add devices rules. IP Address Filters An IP address filter restricts the add devices rule to adding only those devices whose IP address falls within a specified range. This rule filter can be useful as an extra security measure to limit connections, or as a means of segregating different sets of devices. Device Property Filters A device property filter restricts the add devices rule to adding only those devices that have specified properties, such as a minimum operating system version. Firmware Version Filters A firmware version filter restricts the add devices rule to adding only those devices whose firmware version falls within a specified range. Parent topic: © 2019 Email: © 2019 Email:",console devices managing adding usingrulefilters,Using Add Devices Rule Filters console devices managing adding usingrulefilters
70,70,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/adding/editing.html,Editing an Add Devices Rule,"The new settings apply only to devices enrolled after the changes are saved. Previously enrolled devices will retain their current settings. To edit an add devices rule: On , go to the Rules tab. Right-click on the add devices rule that you want to update and select Edit Rule . Adjust the settings as desired and click OK when finished. Parent topic: © 2019 Email: © 2019 Email:",console devices managing adding editing,Editing an Add Devices Rule console devices managing adding editing
71,71,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/adding/deleting.html,Deleting an Add Devices Rule,"Deleting an add devices rule will not unenroll any devices that were enrolled using that add devices rule. Note: You cannot delete the current default add devices rule. You must before deleting it. To delete an add devices rule: On , go to the Rules tab. Right-click on the add devices rule that you want to remove and select Delete Rule . Select OK in the confirmation dialog. Parent topic: © 2019 Email: © 2019 Email:",console devices managing adding deleting,Deleting an Add Devices Rule console devices managing adding deleting
72,72,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/adding/disabling.html,Disabling an Add Devices Rule,"Disabling an add devices rule retains the enrollment settings on previously enrolled devices but will not enroll subsequent devices that fit its criteria. Default add devices rules cannot be disabled. To disable an add devices rule: On , go to the Rules tab. Right-click on the add devices rule that you want to disable and select Disable Rule . Select OK in the confirmation dialog. Parent topic: © 2019 Email: © 2019 Email:",console devices managing adding disabling,Disabling an Add Devices Rule console devices managing adding disabling
73,73,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/adding/changing_default_rule.html,Changing the Default Add Devices Rule,"The default add devices rule is the rule that a device pulls its enrollment settings from, if the enrollment URL it received did not specify a rule. To set a new default add devices rule: On All Platforms tab, go to the Servers tab. Under Global Settings , click the wrench icon beside Enrollment Settings . In the Default Add Devices Rules section, choose a new default add devices rule from the dropdown lists beside each of the platforms you're interested in. Click OK to save your new settings. Parent topic: © 2019 Email: © 2019 Email:",console devices managing adding changing default rule,Changing the Default Add Devices Rule console devices managing adding changing default rule
74,74,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/enrolling.html,Enrolling Devices,"SOTI MobiControl allows you to oversee a wide variety of device types. Device management is supported for Android, iOS, Linux, Windows mobile and desktop operating systems, as well as for Zebra wireless printers. SOTI MobiControl is divided into different Platforms and each platform manages support for a specific subset of device and operating system types. Device enrollment and management differs slightly across the platforms. Generally, you must install a on your devices that communicates with the SOTI MobiControl deployment server. The device agent uses approximately 10 MB of device storage. Supported Devices SOTI MobiControl supports a wide range of products, including Android, Apple, Linux, Windows, and wireless printer devices. Refer to the table below for a full list of supported operating systems and their associated platforms. This platform tab Manages these device types Android Plus Devices running Android 4.0 or later including Samsung KNOX devices See for more information. iOS Devices running iOS 7.0 or later including iPhones, iPads and iPod Touches See for more information. Linux Devices running: Ubuntu 16.04 or later Raspbian 8.0 or later See for more information. Printers Zebra wireless printers See for more information. Windows Desktop Classic Desktop devices running Windows 8.1 or earlier See for more information. Windows Mobile/CE Devices running: CE .NET 4.2 or later Windows Mobile 5.0 or later Pocket PC 2002 or 2003 See for more information. Windows Modern Devices running Windows 10 or Windows Phone 8 and later. See for more information. Additional Enrollment Methods SOTI MobiControl Stage SOTI MobiControl Stage allows you to enroll your devices using a barcode and scanner. It is available for Android Plus and Windows Mobile/CE devices. See for more information. Unified Enrollment Unified enrollment provides an enrollment launch point common to all device manufacturers across a platform. It is available for Android Plus, iOS and Windows Modern devices. See for more information. Parent topic: © 2019 Email: Android Plus Devices running Android 4.0 or later including Samsung KNOX devices See for more information. iOS Devices running iOS 7.0 or later including iPhones, iPads and iPod Touches See for more information. Linux Devices running: Ubuntu 16.04 or later Raspbian 8.0 or later See for more information. Printers Zebra wireless printers See for more information. Windows Desktop Classic Desktop devices running Windows 8.1 or earlier See for more information. Windows Mobile/CE Devices running: CE .NET 4.2 or later Windows Mobile 5.0 or later Pocket PC 2002 or 2003 See for more information. Windows Modern Devices running Windows 10 or Windows Phone 8 and later. See for more information. © 2019 Email:",console devices managing enrolling enrolling,Enrolling Devices console devices managing enrolling enrolling
75,75,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/deviceagent.html,Device Agents,"The SOTI MobiControl device agent is an application developed by SOTI to provide an additional level of device management. Through the device agent, administrators have access to a wealth of device information and control. For device users, the device agent serves as the primary entry point for SOTI MobiControl . The device agent is installed on your devices during the enrollment process. It communicates with the SOTI MobiControl deployment server to exchange information about the device and push changes down to your devices. Device users access the application catalog and content library through the device agent. Device agents are used on the Android Plus, iOS, Linux, Windows Desktop Classic, and Windows Mobile/CE platforms. They consume around 10 MB of device storage. The Printer and Windows Modern platforms employ other methods to communicate with SOTI MobiControl servers. Platform Minimum Device Agent Version Get the Latest Device Agent Version Android Plus 13.5 iOS 13.0 iOS: Linux 14.0.0.32851 Download from the SOTI MobiControl console Windows Desktop Classic Same version as the SOTI MobiControl server Download from the SOTI MobiControl console Windows Mobile/CE Same version as the SOTI MobiControl server Download from the SOTI MobiControl console Parent topic: © 2019 Email: Android Plus 13.5 iOS 13.0 iOS: Linux 14.0.0.32851 Download from the SOTI MobiControl console Windows Desktop Classic Same version as the SOTI MobiControl server Download from the SOTI MobiControl console Windows Mobile/CE Same version as the SOTI MobiControl server Download from the SOTI MobiControl console © 2019 Email:",console devices managing enrolling deviceagent,Device Agents console devices managing enrolling deviceagent
76,76,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/agent_connection_settings.html,Configuring Connection Settings,"To establish the persistence of the connection between a device agent and the deployment server: Click a device name to open its Device Information panel. Switch to the Configurations tab and scroll down to the Advanced Configurations table. Beside Connection Settings , click More > Edit to open the Connection Settings dialog box. Modify the settings as needed. Click OK to save your new settings. Note: You can also modify connection settings at the device group level by following the same general steps. Open a Group Information panel and edit Connection Settings in the Advanced Configurations table of the Configurations tab. You will need to modify the setting for each applicable device family present in a device group. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling agent connection settings,Configuring Connection Settings console devices managing enrolling agent connection settings
77,77,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/ds_priority.html,Setting Deployment Server Priority,"The priority of deployment servers determines the order in which device agents will attempt another connection when their main deployment server is unavailable. You can assign the same priority level to multiple deployment servers to create a load balancing pool that supports a large number of devices. Note: This procedure is only applicable if you have multiple deployment servers installed that use the same site name. To set or change the priority of deployment servers: Click a device name to open its Device Information panel. Switch to the Configurations tab and scroll down to the Advanced Configurations table. Beside Deployment Server Priority , click More > Edit to open the Deployment Server Priority List dialog box. Modify the settings as needed. Click OK to save your new settings. Note: You can also modify deployment server priority at the device group level by following the same general steps. Open a Group Information panel and edit Deployment Server Priority in the Advanced Configurations table of the Configurations tab. You will need to modify the setting for each applicable device family present in a device group. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling ds priority,Setting Deployment Server Priority console devices managing enrolling ds priority
78,78,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/device_agent_upgrade.html,Upgrading a Device Agent,"To download and install the latest SOTI MobiControl device agent on your device(s): Specify which networks your device(s) can use to download the device agent. If upgrading a single device, click on the device whose agent you want to upgrade to open its Device Information panel. If upgrading multiple devices within a single device group, on the device group containing the device(s) whose agents you want to upgrade, click More > Group Information to open its Group Information panel. Switch to the Configurations tab. Under the Advanced Configurations table, click More > Edit beside the Agent Upgrade Settings entry. Agent Upgrade Settings are dictated by Device Family. Within groups you must perform this step separately for each device family whose agents you want to upgrade. Enable the networks over which you want to permit devices to download agents and click OK to save your settings. Close the Details dialog. Select the device(s) whose agent(s) you want to upgrade and click the Enable Agent Upgrade icon in the Device Actions menu bar. Click the More menu button to see the full device actions list. If applicable, click the warning message at the bottom of the dialog box to see why some of the selected devices will not allow agent upgrades. Click Enable Agent Upgrade . With the device(s) still selected, click the Upgrade Agent Now icon in the Device Actions menu bar. Click the More menu button to see the full device actions list. If applicable, click the warning message at the bottom of the dialog box to see why SOTI MobiControl cannot push the agent to some of the selected devices. Click Upgrade Agent Now . Devices with out of date agents will download and install the latest available agent. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling device agent upgrade,Upgrading a Device Agent console devices managing enrolling device agent upgrade
79,79,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/platforms/androidplus.html,Adding Android Plus Devices,"Use the Android Plus platform to enroll and manage devices running Android 4.0 or later. Once you have created an , you must install a on your devices to enroll them in SOTI MobiControl . You can enroll and organize your devices using LDAP or IdP (backed by LDAP) connections. After you have configured your or your in SOTI MobiControl , you can set up add devices rules to enroll devices in specific device groups based on their LDAP or IdP groups. You can also use the LDAP or IdP groups for device authentication. Android Enterprise Features Android allows you to standardize management of Android devices used for corporate purposes. Enabling work features on your enrolled Android devices allows SOTI MobiControl to leverage the Android operating system and the managed Google Play store for more device management scenarios. These management features are only available on devices running Android 4.0 or later. See for more information. Samsung Knox Samsung Knox is a collection of security enhancements available on some Samsung devices. SOTI MobiControl supports Samsung Knox Mobile Enrollment, a bulk enrollment service, and Samsung Knox Workspace, a secure container that separates personal data from enterprise data. See either or for more information. Note: In the SOTI MobiControl console, Samsung KNOX generally refers to devices with the Samsung Knox Workspace container enabled. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling platforms androidplus,Adding Android Plus Devices console devices managing enrolling platforms androidplus
80,80,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/platforms/aplus_enroll.html,Enrolling Android Plus Devices,"The Android Plus applies the enrollment settings as specified in your add devices rule. To enroll an Android Plus device in SOTI MobiControl : Use one of the following methods to install the Android Plus device agent on your devices. Download the device agent from the Google Play Store. Download the device agent from the SOTI MobiControl console or the page and . For Samsung devices only: Download the device agent from Samsung Galaxy Apps. Once it is installed, open the device agent on the device and enter the enrollment ID or the enrollment URL. The enrollment ID and the enrollment URL can be found on the Rules tab Information pane. Follow the instructions in the Device Agent Configuration applet. Your device is now enrolled in SOTI MobiControl and can communicate with the SOTI MobiControl deployment server. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling platforms aplus enroll,Enrolling Android Plus Devices console devices managing enrolling platforms aplus enroll
81,81,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/platforms/aplus_enroll_sdcard.html,Sideloading the Android Plus Device Agent,"Make sure your device can install non-Google Play Store applications. In your device's settings (usually under Security ), ensure that Unknown Sources: Allow installation of apps from unknown sources is checked. To sideload the Android Plus device agent onto your Android Plus devices: Create an . Make sure to select Download directly from the server during the device agent section of the wizard and that the correct device agents are selected. On the Rules tab, right-click the add devices rule and select Download Device Agent . Select the appropriate manufacturer from the drop-down list and click Download INI file and Download APK file to save the files to your computer. Tip: You can also download Android device agents from the . Copy the downloaded files to the root directory of an SD card or directly to the device (in the Downloads folder). On your device: Navigate to the device agent's .apk file and install it. Open the device agent and enter the enrollment ID of the corresponding add devices rule. Follow the instructions of the Device Agent Configuration applet to complete the enrollment. If you used the MCSetup.ini file, the enrollment ID will be prepopulated in the Device Agent Configuration . Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling platforms aplus enroll sdcard,Sideloading the Android Plus Device Agent console devices managing enrolling platforms aplus enroll sdcard
82,82,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/platforms/agent_migrate_elm.html,Migrating Devices to the ELM Agent,"This procedure requires an internet connection. If your SOTI MobiControl deployment or devices are offline, see for an offline alternative. Physical interaction with the device is required. Ensure the device is in a trusted location or has a trusted representative available nearby. The previous Platform-Signed Samsung device agent is no longer supported by SOTI MobiControl . If you are upgrading from SOTI MobiControl v13.3 or earlier and your deployment contains Samsung devices using the Platform-Signed agent, you must migrate those devices over to the Samsung enterprise license management (ELM) agent. The Samsung ELM agent provides more advanced policies as part of Samsung's ELM standardized MDM policy list. The Samsung ELM agent is supported on devices running Android 4.2.2 or later. Note: When migrating entire device groups at once, the migration will skip any devices that are already using an ELM agent, that are using a non-Samsung agent, or that are Samsung devices that do not support ELM. To migrate devices to the ELM agent: On the Android Plus tab, select the Devices tab. Right-click on a device or device group and select Agent Upgrade > Migrate to ELM Agent to send the SOTI MobiControl ELM agent to supported devices. Perform this step on the device: Select Accept when prompted to initiate the activation of ELM and complete the migration. There may be multiple prompts depending on the device model or operating system. Device policies that were applied to the device are rolled back and re-applied during the migration process. If you experience issues with your device policies after the migration, verify that they were re-applied correctly. Script commands to toggle settings are not rolled back as SOTI MobiControl 's Android Plus agents do not store which script commands were previously applied. Some script commands are not supported by the ELM agent and therefore may not work after migration. Review your profile filter criteria for all Android Plus profiles to ensure that they are not targeted to the non-ELM agent. Note: If the migration to the ELM agent fails, because the ELM agent will not install on the device or because the ELM activation was unsuccessful, the non-ELM agent will re-apply the device policies it rolled back and revert to its original state prior to attempting the ELM migration. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling platforms agent migrate elm,Migrating Devices to the ELM Agent console devices managing enrolling platforms agent migrate elm
83,83,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/platforms/samsung_onpremise_server.html,Samsung On-Premises Activation Server,"If your deployment is offline, it is still possible to manage Samsung devices. You must contact your Samsung representative and request the installation of a Samsung On Premises Activation Server. Once your On-Premises Activation server is set up, and you have , you can use it to activate the SOTI MobiControl enterprise license management (ELM) device agent and the . Note: On-premises activation for Samsung KNOX licenses is only supported on devices that support Samsung KNOX 2.0 or later. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling platforms samsung onpremise server,Samsung On-Premises Activation Server console devices managing enrolling platforms samsung onpremise server
84,84,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/platforms/samsung_elm_configuration.html,Editing the Samsung ELM Configuration,"You must have an already set up if you are switching the ELM configuration type to Custom . The Samsung enterprise license management (ELM) configuration controls how licenses for Samsung ELM agents and Samsung KNOX containers are activated. There are two types of ELM Configuration: Standard (ELM is activated via Samsung's cloud-hosted Activation Server) or Custom (ELM is activated via an – for offline deployments). Note: ELM license activation is a core aspect of Samsung device management. Exercise caution when modifying this setting. To edit the Samsung ELM configuration: On the All Platforms tab, select the Servers tab. Under the Global Settings , click the wrench icon beside Samsung ELM Configuration . Change the ELM Configuration Type to either Standard or Custom . If you selected Custom , enter the custom key provided when you set up your on-premises activation server. Click OK to save the new activation setting and close the dialog box. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling platforms samsung elm configuration,Editing the Samsung ELM Configuration console devices managing enrolling platforms samsung elm configuration
85,85,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/platforms/knox/knox_container.html,Using the Samsung Knox Container,"SOTI MobiControl supports the activation and use of Samsung Knox Workspace on Samsung devices. Samsung Knox Workspace is a secure container that contains enterprise data on a phone, separating from personal data. You can use SOTI MobiControl to manage your corporate data within the container. Samsung Knox Workspace is not available on all Samsung devices. The Samsung device must support the API Knox v1 or later (visible in the Device Information panel) to enable the container. Samsung devices with the Samsung Knox Workspace container activated are subsumed within the Android Plus platform. Enrollment, remote control, and all other device management are performed within the Android Plus platform. You must before you can use the Samsung Knox features on your devices. Note: Samsung Knox Mobile Enrollment is another component of the Samsung MDM platform but it is completely independent of Samsung Knox Workspace. You do not need to enable one to use the other. See for more information. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling platforms knox knox container,Using the Samsung Knox Container console devices managing enrolling platforms knox knox container
86,86,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/platforms/knox/knox_container_license_manager.html,Samsung Knox License Manager,"You must purchase Samsung Knox Workspace licenses before you can use the Samsung Knox Workspace feature on your devices. You can purchase either Perpetual Licenses or Monthly Licenses . Once you have purchased the licenses, you must to use them with your devices. Use the Knox License Manager (available from the Help button in the upper right corner of the SOTI MobiControl console) to review your licenses. Perpetual Perpetual licenses are a one-time fee per device and are valid forever. However, devices activated with a perpetual Samsung Knox Workspace license are tied to that license forever. If a device is damaged, lost, or stolen, the license cannot be released and you will need to purchase a new license for any replacement devices. Monthly Monthly licenses are temporary licenses and must be renewed on a monthly basis. If the license is not renewed, the Samsung Knox container and its features become non-functional. A single license key can activate multiple devices. On-Premises Samsung Knox License Activation Samsung Knox license activation is supported within offline or an on-premises environment for devices that are Knox 2.0-capable or higher. You must set up a to use Samsung Knox Workspace. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling platforms knox knox container license manager,Samsung Knox License Manager console devices managing enrolling platforms knox knox container license manager
87,87,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/platforms/knox/knox_container_activate_license.html,Adding Samsung Knox Workspace Licenses to SOTI MobiControl,"SOTI MobiControl If you are activating licenses for an on-premises environment, you must have a set up before you can complete these steps. You must also in the Samsung ELM Configuration dialog box. Valid Samsung Knox Workspace licenses are required to operate Samsung Knox Workspace features on your device. Contact your Samsung reseller or account manager to obtain licenses. To activate Samsung Knox Workspace licenses: Click the ? button in the upper right corner of the SOTI MobiControl console. From the drop-down menu, select Knox License Manager . In the Knox License Manager dialog box, select the Orders tab and click Add . Enter the required information in the appropriate fields and click OK . You are ready to start leveraging the functionality of the Samsung Knox container. Use the Add and Delete buttons to update your licenses. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling platforms knox knox container activate license,Adding Samsung Knox Workspace Licenses to SOTI MobiControl console devices managing enrolling platforms knox knox container activate license
88,88,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/platforms/knox/knox_container_activate.html,Activating the Samsung Knox Container on Your Devices,"Once you have purchased licenses for Samsung Knox Workspace and , you can enable the container on your Samsung devices that support the feature. To activate the Samsung Knox container: Determine which of your Samsung devices support the Samsung Knox container - and which version. Different versions have slightly different functionality. Refer to the Device Information panel of your devices. If Samsung Knox v1 or later is visible under Supported APIs , it is supported. in the Android Plus platform for an Android Plus , not Samsung Knox type device. Add the Knox Container to the profile. Save and assign the profile to your Samsung devices. Check the targeted devices to make sure the container has been applied. The Samsung Knox container is now active on your devices. If you want to to only the Samsung Knox container, select Samsung Knox from the Type drop-down in the Android Plus Add Profile dialog box. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling platforms knox knox container activate,Activating the Samsung Knox Container on Your Devices console devices managing enrolling platforms knox knox container activate
89,89,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/platforms/afw/afw.html,Adding Android Devices with Work Features Enabled,"The Android operating system has several built-in features designed to facilitate easier device management within enterprise deployments. The flexibility of Android continues with these 'work' features; whether your mobility strategy is bring your own device or purpose built device or a mix of both, Android has a solution for you. In SOTI MobiControl , Android devices with work features enabled are managed under the Android Plus banner as Android Enterprise . Enrollment, remote-control, and device configuration are all performed under Android Plus. Unless noted, Android devices with work features enabled can generally accomplish anything a regular Android device can. Work features are available on devices running Android 4.0 or later. However, in Android 4.0 to 4.4, the functionality is provided using the Android Enterprise client, which must be installed separately on the device. Beginning with Android 5.0, work features are native to the Android operating system. Device Management Type There are two types of device management for Android devices with work features enabled: work managed devices and devices with work profiles. Work managed devices are Android devices where the entire device is managed and under enterprise control. It grants administrators an extensive level of control over devices. Devices must be configured as work managed devices during the initial setup of the device. Devices with work profiles are devices where only a portion of the device is dedicated to enterprise apps and data. The rest of the device is devoted to personal apps and data and the two sections remain separated. As the device user has ultimate control, there are some limitations to device management in this scenario compared to work managed devices. Account Type When enrolling devices in SOTI MobiControl , you can choose between two types of accounts for Android devices with work features enabled: Google managed accounts and managed Google Play accounts. You can also choose to skip the Google account creation entirely. Only choose the Skip option if the devices will not require access to the managed Google Play Store. Google managed accounts are user-based and are best for situations where the device will be associated with a single user for its lifetime. See for more information. Managed Google Play accounts are device based and are best for situations where the device will be used by multiple users, such as kiosk environments. See for more information. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling platforms afw afw,Adding Android Devices with Work Features Enabled console devices managing enrolling platforms afw afw
90,90,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/platforms/afw/gma.html,Using Google Managed Accounts,"Google managed accounts are user-based and are best for situations where the device will be associated with a single user over its lifetime. To use Google managed accounts, you must grant SOTI MobiControl permission to manage those devices in the . The Google Admin Console is Google's central location for managing your Google enterprise services. See for more information. Each device that you plan to enroll in SOTI MobiControl must be associated with a user account that exists in both Active Directory and Google to properly deploy applications to that device. Within the Google Admin Console an organization can grant access for the management of any Android devices under its domain(s). Management access is based on users and domains, both of which must be registered in the Google Admin Console. An Android device with work features can only be managed in SOTI MobiControl after the device user, and the domain that they belong to, have both been registered in the Google Admin Console. Note: LDAP is required when using Google managed accounts on your devices. Once you have set up your users and domains in the Google Admin Console, you must bind your domain(s) to SOTI MobiControl before it can enroll and manage Android devices with work features enabled. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling platforms afw gma,Using Google Managed Accounts console devices managing enrolling platforms afw gma
91,91,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/platforms/afw/link_google_mc.html,Linking Your Google Domain to SOTI MobiControl,"SOTI MobiControl To link your Google domain to SOTI MobiControl : Perform these steps in the . In the Users section, enter the users whose devices you want to manage in SOTI MobiControl . Alternatively, you can sync users from Active Directory credentials. In the Domains section, enter the primary domain and, if applicable, any secondary domains that you want to manage through SOTI MobiControl . You must verify that you have ownership over the domain. Click Continue and verify domain ownership . Google provides several methods to verify domain ownership. Once you have successfully verified your ownership of the domain, return to the home page of the Google Admin Console. In the Security section, select Manage EMM provider for Android page and request a management token (also called an MDM token). This MDM token proves to Google that SOTI MobiControl is authorized to managed Android devices under this domain. Perform these steps in the SOTI MobiControl console: On the All Platforms tab, go to the Servers tab. Under Global Settings , select Android Enterprise Bindings to open the Configure Android Enterprise Bindings dialog box. Click the New button and select Google Domain . The Add Android Enterprise Binding dialog box opens. In the Add Android Enterprise Binding dialog box, enter the primary domain and the MDM token string in the appropriate fields. An MDM token can be used only by a single instance of SOTI MobiControl to manage a single primary domain. However, the same MDM token can be used to bind the same SOTI MobiControl instance to multiple secondary domains. If applicable, specify any secondary domains. Click Save to save the new enterprise binding and close the Add Android Enterprise Binding dialog box. The new enterprise binding is added to the Configure Android Enterprise Bindings dialog box. Click Close to save your enterprise bindings and close the Configure Android Enterprise Bindings dialog box. SOTI MobiControl is now authorized to manage Android devices on the specified domain. You can now in SOTI MobiControl . Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling platforms afw link google mc,Linking Your Google Domain to SOTI MobiControl console devices managing enrolling platforms afw link google mc
92,92,https://www.soti.net/mc/help/v14.0/en/console/devices/managing/enrolling/platforms/afw/link_delete_google_mc.html,Unlinking Your Google Domain from SOTI MobiControl,"SOTI MobiControl You must delete all associated with this domain before you can unbind an Android Enterprise Binding. Permission from the Google Admin Console is required for SOTI MobiControl to manage Android devices with enabled work features. This procedure removes that permission. To unlink your Google domain from SOTI MobiControl : On the All Platforms tab, go to the Servers tab. Under Global Settings select Android Enterprise Bindings to open the Configure Android Enterprise Bindings dialog box. Select the domain that you want to delete to ensure it is the active tab. Click Delete and then Yes in the confirmation box. Parent topic: © 2019 Email: © 2019 Email:",console devices managing enrolling platforms afw link delete google mc,Unlinking Your Google Domain from SOTI MobiControl console devices managing enrolling platforms afw link delete google mc
