,page,title,text,key_phrase
234,234,オリックス  給油 割引 クーポン  あり ます  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス, 利用 時間  応じ  割安  パック 料金  自動 適用   おり ます パック 料金  適用    延長 時間 含む 割引 適用 なお   給油 割引 適用  なり ます その 個別   連絡  行っ  おり ませ  ので  了承 ください 利用  給油     返却 時間 以内  給油 申請     お客様  分間  時間 料金  割引い   ます オリックス  給油 割引 クーポン  あり ます  更新 日時 No 夜間 パック   利用  パック 料金  通常 料金  組み合わせ   利用  夜間 パック  予約   申込み いただき 翌朝 時の間  連続 時間 利用   適用   ます 給油 申請 方法  給油 申請 または 給油   連絡  ない,パック 料金
235,235,事故 トラブル よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,事故 トラブル  FAQ 最新 順 アクセス 数 順 ページ 件 件  表示 閲覧  多い FAQ No キーワード または 文章  検索 でき ます 文字 以内 重要 順 キーワード  間  半角 スペース  入れる  AND 検索  なり ます キーワード  間   入れる  OR 検索  なり ます キーワード  間   入れる  ハイフン  後ろ  キーワード  除外   検索  ます 事故 トラブル 交通 事故  クルマ  キズ  つけ    通り  対応 ください 詳しく  車内 マニュアル   確認 ください ① 安全 確保 人命 救助  行い 必要  応じ  救急 車 公開 日時 No お手数 です  オリックスカーシェア 問合せ 受付 センター  選択   連絡 ください 更新 日時 No 念    確認 ください 予約   クルマ  ステーション  誤り  ない  予約   利用 期間  誤り  ない   駐車 スペース  駐車     ない   該 更新 日時 No オリックスカーシェア 問合せ 受付 センター  選択   連絡 ください 出発 前  クルマ  キズ  凹み  異常  発見     必ず 出発  前  オリックスカーシェア 問合せ 受付 センター  選択   連絡 ください No 更新 日時 No 必ず オリックスカーシェア 問合せ 受付 センター  選択   連絡 ください 車内  汚損  まし   原因  状態 により 千 円 万 円  ペナルテ 更新 日時 No オリックスカーシェア 問合せ 受付 センター  選択   連絡 ください 万 円  ペナルティ 料金  発生  あり ます 更新 日時 No 返却 以内  あれ  カード リーダー  IC カード  タッチ   ドア ロック  解 錠 施錠 でき ます 返却 経過    車両  おこし いただく 前  会員 さま  自身  更新 日時 更新 日時 更新 日時 ステーション   クルマ  停 まっ    返却 でき ない   オリックスカーシェア 問合せ 受付 センター  選択  連絡 ください なお  更新 日時 No 更新 日時 No,公開 日時
236,236,全般 よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,キーワード  間  半角 スペース  入れる  AND 検索  なり ます キーワード  間   入れる  OR 検索  なり ます キーワード  間   入れる  ハイフン  後ろ  キーワード  除外   検索  ます キーワード または 文章  検索 でき ます 文字 以内 閲覧  多い FAQ 全般 全般  FAQ 件 件  表示 公開 日時 No 各 レンタカー 営業 所  直接  問い合わせ ください 更新 日時 No トヨタ レンタカー オリックス レンタカー ニッポン レンタカー 日産 レンタカー Ｊ ネット レンタカー バジェット レンタカー スカイ レンタカー エルモンテ RV キャ No レンタカー 営業 所  異なり ます 詳細  各 レンタカー 営業 所  直接  問い合わせ ください No 各 レンタカー 事業 クルマ により 異なり ます  カーシェアアプリ または サイト クルマ   指定 いただき 料金  確認  お願い いたし ます No レンタカー 営業 所  異なり ます  予約  返却 できる 営業 所  選択 できる  乗り捨て  でき ます 重要 順 最新 順 アクセス 数 順 ページ,キーワード
237,237,予約 変更 キャンセル よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,No 公開 日時 更新 日時 予約    利用 予定 期間  変更 予約 変更 料金  発生  ござい ます 予約 変更 料金  コチラ  カーシェアアプリ または サイト マイガレージ 利用 履歴 No 更新 日時 利用 開始 予定 日時  時間 前 前  カーシェアアプリ または サイト にて 利用 予定 期間  予約 変更  可能 です 必要  応じ  予約 変更  行っ  ください 利用 開始 予定 日時 No 更新 日時 予約 変更   ステーション  クルマ  変更  でき ませ  ステーション  クルマ  変更  予約 キャンセル 再度 新規 予約   ください 予約 キャンセル   予約 キャ No 更新 日時 件 件  表示  カーシェアアプリ または サイト マイガレージ 利用 履歴 予約  クルマ  選択 予約 内容 画面  予約 キャンセル 予約 キャンセル  手続き    ください また 更新 日時 予約 変更 キャンセル キーワード または 文章  検索 でき ます 文字 以内 キーワード  間  半角 スペース  入れる  AND 検索  なり ます キーワード  間   入れる  OR 検索  なり ます キーワード  間   入れる  ハイフン  後ろ  キーワード  除外   検索  ます 閲覧  多い FAQ 予約 変更 キャンセル  FAQ ページ アクセス 数 順 最新 順 重要 順 渋滞  利用 終了 予定 日時  超過  そう      方法  予約 延長  手続き    ください  カーシェアアプリ または サイト マイガレージ 利用 履歴 No,予約 変更 料金
238,238,予約 よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,予約 時間  加え 前後 分間  予約 でき ませ  なお  利用  返却 または 予約 キャンセル   時間 間隔  あけ   予約 可能  なり ます 重要 順 予約 No 最長  日間 時間  利用 予約  可能 です 更新 日時 公開 日時 最新 順  利用 予約 可能 です 最短  利用 予約 可能 時間  です 更新 日時 No 利用 開始 予定 日時  前 予約 可能 です 更新 日時 No エラー 番号   控え   カーシェアサポートセンター   連絡 ください 更新 日時 No 更新 日時 No キーワード または 文章  検索 でき ます 文字 以内 キーワード  間  半角 スペース  入れる  AND 検索  なり ます キーワード  間   入れる  OR 検索  なり ます キーワード  間   入れる  ハイフン  後ろ  キーワード  除外   検索  ます 閲覧  多い FAQ 予約  FAQ 件 件  表示 ページ アクセス 数 順 更新 日時 カレコ カーシェアリングクラブ  提供 ステーション  うち 利用 不可  ステーション  ござい ます No,予約 時間
239,239,BMW  レンタカー  給油  どう すれ  いい です  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,ガソリン  満 タン  ない  燃料 計  残 数  応じ  BMW  別途 定める 換算 にて  精算 いただき ます ガソリン  満 タン  ある  確認 給油 証明 書 領収証   提示 ください  返却    最寄り  ガソリンスタンド   給油  行い 満 タン  状態    ください BMW  レンタカー  給油  どう すれ  いい です  No 更新 日時,満タン
240,240,BMW  レンタカー 利用  事故  車両  故障 不具合  発生     連絡 すれ  いい です  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,① 安全 確保 人命 救助  行い 必要  応じ  救急 車  緊急 通報   連絡 ください 電話 受付 受付 時間 時間 年中 無休 また 事故  道路 交通 法  義務 及び 必要  措置  行っ  ください BMW エマージェンシー サービス 高速 道路       後続 車   合図 ハザード ランプ 停止 表示 板 発煙 筒    ください ③ 必ず BMW エマージェンシー サービス   連絡 ください ④ 警察 立ち合い  もと 事故  現場 検証    ください 事故  トラブル  原因  なり ます ので 当事者 同士  示談  絶対  行わ ない  ください  BMW エマージェンシー サービス   連絡 いただき BMW GROUP Tokyo Bay  レンタル    車検 証  記載    いる 車台 番号  お伝え ください ② 発生 場所  傷 事故  大小  関わら  警察   連絡   事故  届出    ください BMW  レンタカー 利用  事故  車両  故障 不具合  発生     連絡 すれ  いい です  更新 日時 No 警察   届出 事故  現場 検証  道路 交通 法  義務  なり ます,bmw エマージェンシー
241,241,レンタカー  利用  保険  補償  適用   ます  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,① 対人 無 制限 ② 対物 無 制限 免責 額 万 円 ③ 車両 時価 額 免責 額 万 円 ④ 人身 傷害 万 円 レンタカー  利用  保険  補償  適用   ます  更新 日時 No,人身 傷害
242,242,BMW  レンタカー  予約   本人  運転 でき ます  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,更新 日時 No BMW  レンタカー  予約   本人  運転 でき ます  予約   本人  なく   運転 でき ます  貸出 受付 にて 運転 交代 予定 様  氏名 連絡  お伝え いただき 運転 免許 証   提示 ください,レンタカー
243,243,BMW  レンタカー  チャイルド シート  装着 でき ます  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,No 更新 日時 BMW  レンタカー  チャイルド シート  装着 でき ます  店舗 にて  用意 でき ない  お客様  自身 にて  用意 ください また ジュニア シート  店舗 にて 配備   おり ませ  必要  応じ  お客様  自身 にて  用意 ください 装着 不具合 による ケガ  NTT ドコモ および BMW   一切  責任  負い かね ます チャイルド シート  店舗 にて 配備   おり ます  数  限り  あり ます ので  希望   事前   連絡 ください,bmw
244,244,BMW  レンタカー  ペット  同乗   でき ます  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,ペット  同乗   でき ます 但し ゲージ   利用 いただく  お客様    配所  お願い  ます BMW  レンタカー  ペット  同乗   でき ます  更新 日時 No,レンタカー
245,245,トヨタ シェア  カーナビ  ETC 車載 器  搭載     ます  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,ETC カード  お客様 自身   用意 ください カーナビ ETC 車載 器  搭載     ます トヨタ シェア  カーナビ  ETC 車載 器  搭載     ます  ETC ETC カード  あり ます  No 公開 日時,カーナビ
246,246,トヨタ シェア  利用   車両  ETC 車載 器 管理 番号  確認 方法  教え  ください よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,トヨタ シェア  利用   車両  ETC 車載 器 管理 番号  確認 方法  教え  ください No 公開 日時 TOYOTA SHARE  問い合わせ 窓口  選択   連絡 ください,etc 車載器 管理 番号
247,247,トヨタ シェア  CD プレイヤー 音楽 視聴 機器  搭載     ます  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,全車  ナビゲーション  搭載    おり ます  ナビゲーション  種類 によって  CD プレイヤー 音楽 視聴 機器  搭載     ない  ござい ます 公開 日時 No トヨタ シェア  CD プレイヤー 音楽 視聴 機器  搭載     ます ,cd プレイヤー
248,248,トヨタ シェア  初心 ドライバー 標識 初心者 マーク  高齢 ドライバー 標識 高齢 ドライバー マーク  装備  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス, クルマ  初心 ドライバー 標識 初心者 マーク および 高齢 ドライバー 標識 高齢 ドライバー マーク   用意   おり ます 必要  応じ   利用 ください トヨタ シェア  初心 ドライバー 標識 初心者 マーク  高齢 ドライバー 標識 高齢 ドライバー マーク  装備     ます  公開 日時 No,初心 ドライバー 標識
249,249,トヨタ シェア  保険 追加 補償  内容  教え  ください よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス, 確認 いただけ ます トヨタ シェア  保険 追加 補償  内容  教え  ください 更新 日時 公開 日時 No,追加 補償
250,250,トヨタ シェア  スタッドレスタイヤ  装着    ます  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,トヨタ シェア  スタッドレスタイヤ  装着    ます  公開 日時 No   冬 タイヤ  装備   おり ませ   期間 限定   クルマ   装着  おこなっ  おり ます スタッドレスタイヤ  装着 有無   方法  確認  可能 です すでに 予約 済み  クルマ  マイガレージ 利用 履歴 予約  クルマ  選択 予約 内容 画面 クルマ  詳細  見る クルマ 情報 画面 スペック 装備 にて スタッドレスタイヤ または 冬 タイヤ  表記  ある  装着   おり ます  カーシェアアプリ または サイト   予約  クルマ 情報 画面 スペック 装備 にて スタッドレスタイヤ または 冬 タイヤ  表記  ある  装着   おり ます,クルマ
251,251,トヨタ シェア  子ども シート ジュニア シート  チャイルド シート  搭載     ます  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,チャイルド シート   車両  円 税込  レンタル   おり ます チャイルド シート  レンタル    いる 車両   カーシェアアプリ または サイト   予約  クルマ 情報 画面  記載  あり ます ので  確認 ください 記載  店舗 営業 時間  貸出 返却  行える  予約  お願い いたし ます トヨタ シェア  子ども シート ジュニア シート  チャイルド シート  搭載     ます  更新 日時 公開 日時 No 受け取り 方法  含め 詳細  まし    クルマ 情報 画面 記載  連絡   連絡 ください,チャイルド シート
252,252,マイカー シェア  オーナー 予約 申込み リクエスト  承認   ない  どう なり ます  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,使用 開始 時間  前  オーナー 承認   ない  予約 申 込み  自動的  失効  なり ます マイカー シェア  オーナー 予約 申込み リクエスト  承認   ない  どう なり ます  No,予約 申込み
253,253,マイカー シェア  予約  最長 どの でき ます  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,最長 時間 日間  予約  でき ます マイカー シェア  予約  最長 どの でき ます  No,マイカー シェア
254,254,マイカー シェア  予約  前 でき ます  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,マイカー シェア  予約  前 でき ます  No 前 予約  でき ます,マイカー シェア
255,255,マイカー シェア  クルマ  オプション 受渡し 時間 場所  詳細 確認  たい  どう すれ  いい よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス, カーシェアアプリ  チャット 機能  使っ  オーナー  確認   ください マイカー シェア  クルマ  オプション 受渡し 時間 場所  詳細 確認  たい  どう すれ  いい です  No,クルマ
256,256,カリ テコ  返却  ステーション   クルマ  停 まっ    どう すれ  いい です  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,なお  クルマ  誤っ  カリ テコ 車 室  駐車  ない   出発   スタンド サイン  車 室  置い  いただく お願い  ます  選択  連絡 ください ステーション   クルマ  停 まっ    返却 でき ない   カリ テコ センター カリ テコ  返却  ステーション   クルマ  停 まっ    どう すれ  いい です  更新 日時 No,クルマ
257,257,カリ テコ  クルマ  駐車 券  搭載     ない どの  出庫 すれ  いい です  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス, 選択   連絡 ください お手数 です  カリ テコ センター カリ テコ  クルマ  駐車 券  搭載     ない どの  出庫 すれ  いい です  更新 日時 No,カリテコ
258,258,カリ テコ 利用  飲み物  車内  汚し  しまっ   どう すれ  いい です  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,必ず カリ テコ センター  選択   連絡 ください 車内  汚損  まし   原因  状態 により 追加 料金  かかる  あり ます No カリ テコ 利用  飲み物  車内  汚し  しまっ   どう すれ  いい です  更新 日時,センター
259,259,カリ テコ  車両 返却 忘れ物  ライト  消し 忘れ  気づき まし  どう すれ  いい です  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,カリ テコ  車両 返却 忘れ物  ライト  消し 忘れ  気づき まし  どう すれ  いい です  No 更新 日時 カリ テコ センター  選択   連絡 ください お客様  自身   解 錠  でき ませ ,カリテコ
260,260,カリ テコ  前  利用  忘れ物  見つけ  どう すれ  よい です  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,更新 日時  選択   連絡 ください お手数 です  カリ テコ センター カリ テコ  前  利用  忘れ物  見つけ  どう すれ  よい です  No,カリテコ
261,261,カリ テコ  予約   ステーション  クルマ  ない どう すれ  いい です  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,カリ テコ  予約   ステーション  クルマ  ない どう すれ  いい です  また  利用   迷惑  なら ない  利用 終了 予定 時間  利用 終了   ます お願い いたし ます  駐車 スペース  駐車     ない  予約   利用 期間  誤り  ない  予約   クルマ  ステーション  誤り  ない  念    確認 ください 更新 日時 No  該当  ない  カリ テコ センター  選択  連絡 ください,ステーション
262,262,カリ テコ  給油   レシート  持ち帰っ  しまい まし  どう すれ  いい です  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス, 選択   連絡 ください カリ テコ センター カリ テコ  給油   レシート  持ち帰っ  しまい まし  どう すれ  いい です  更新 日時 No,カリテコ
263,263,カリ テコ  定期 駐車 券 パス カード  入 出庫 駐車 場  誤っ   駐 車券  とっ  しまっ  どう すれ よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス, 選択   連絡 ください カリ テコ センター カリ テコ  定期 駐車 券 パス カード  入 出庫 駐車 場  誤っ   駐 車券  とっ  しまっ  どう すれ  いい です  更新 日時 No,カリテコ
264,264,カリ テコ  定期 駐車 券 給油 カード  紛失 または 損傷   しまっ  どう すれ  いい です  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,更新 日時 No カリ テコ  定期 駐車 券 給油 カード  紛失 または 損傷   しまっ  どう すれ  いい です   選択   連絡 ください お手数 です  カリ テコ センター,カリテコ
265,265,カリ テコ 利用  交通 事故  起こし クルマ  キズ  つけ   どう すれ  いい です  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,事故  トラブル  原因  なり ます ので 当事者 同士  示談  絶対  行わ ない  ください 警察   届出 事故  現場 検証  道路 交通 法  義務  なり ます 自動車 保険  範囲  修理  可能 です  休業 補償 ノンオペレーションチャージ  発生  ます ④ 警察 立ち合い  もと 事故  現場 検証    ください 円 カリ テコ 利用  交通 事故  起こし クルマ  キズ  つけ   どう すれ  いい です  返却 予定  ステーション  車両  返却   自 走 可能   選択   連絡 ください ② 発生 場所  傷 事故  大小  関わら  警察   連絡   事故  届出    ください 高速 道路       後続 車   合図 ハザード ランプ 停止 表示 板 発煙 筒    ください ① 安全 確保 人命 救助  行い 必要  応じ  救急 車  緊急 通報   連絡 ください 詳しく  車内 マニュアル   確認 ください 交通 事故  クルマ  キズ  つけ    通り  対応 ください 返却 予定  ステーション  車両  返却 でき ない 自 走 不可能  ③ カリテコ ロードサービス 円 レッカー 代 No 更新 日時,ステーション
266,266,マイカー シェア  共同 使用  レンタカー  違い  なん です  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,マイカー シェア  共同 使用  レンタカー  違い  なん です  共同 使用   個人 間 において 自家用 自動車  使用 管理 に関する 実質  権限  責任  分担  車両  共同  使用 です  レンタカー   違い   通り です オーナー  設定 可能  共同 使用  車  維持 費  分担  認め られる  あり オーナー  この 範囲  超え  利益  得る  法令 認め られ   ませ  レンタカー   国  認可  得  業 有償   貸 渡し  行う   異なり ます 車両  点検 整備  オーナー ドライバー 双方  責任  伴い ます No 共同 使用  考え方  基づき 予約  手続き 一定  ルール  定め られ   ます,共同 使用
267,267,マイカー シェア  保険  補償 内容 教え  ください よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,マイカー シェア  保険  補償 内容 教え  ください 被 保険  故意 または 重大  過失 によって 生じ  損害 保険 期間  事故 により 生じ  損害 引受 保険 会社 東京 海上 日動 火災 保険 株式会社 保険 内容 補償 内容 に関する  問い合わせ  東京 海上 日動 火災 保険 自動車 保険 カスタマーセンター 事故 故障   連絡  相談  東京 海上 日動 自動車 保険 事故 受付 センター 社団 法人 日本 損害 保険 協会 そん  ADR センター 指定 紛争 解決 機関 引受 保険 会社  保険 業法  基づく 金融 庁 長官  指定  受け  指定 紛争 解決 機関  ある 社団 法人 日本 損害 保険 協会  手続 実施 契約  締結    ます 引受 保険 会社   間  問題  解決 でき ない   同 協会  解決  申し立て  行う  でき ます 詳しく  同 協会  ホームページ   確認 ください そん  ADR センター 被 保険  使用  業務   車両  使用   により 生じ  損害 通話 有料   利用 ください 受付 時間 平日 午前 午後 土 祝日 年末年始   休み     いただき ます 取扱 代理 店 株式会社 NTT ドコモ  カーシェアサポートセンター 連絡  募集 文書 番号 作成  IP 電話  車両  競技 または 曲技   使用 練習  含む  競技 または 曲技  行う  目的  場所  使用 によって 生じ  損害 第三者   損害 賠償 に関する 特別  約定 により 損害 賠償 責任  加重    その 加重     損害 No 更新 日時 地震 噴火 または による 津波 台風 洪水 または 高潮 によって 生じ  損害  カー シェア    予約   必ず ドライバー   東京 海上 日動 火災  ちょい のり 保険 自動車 保険 車両 補償 あり プラン プレミアム または スタンダード   加入  いただき ます 自動車 保険  保険 期間 における 被 保険  運転  事故 によって 発生   損害 に対する 補償  なり ます 例えば 車両  盗難  駐 停車  当て逃げ 被 保険  による 運転  事故 保険 期間  事故 による 損害  補償   ませ    お客 さま  補償  受け られ ない  免責 金額  定め られ  いる  あり ます ので 保険 に関する 約款 および 重要 事項 説明  必ず 確認  内容   了承  うえ  予約   申込み ください 自動車 保険  補償 内容  料金 保険 会社  問い合わせ  カーシェアアプリ または  カーシェアサイト  ヘルプ  確認 いただけ ます 保険 金   支払 でき ない  ケース お客 さま  補償  受け られ ない  ケース  記載   おり ます   ケース  網羅    いる 訳   ござい ませ  また 保険 特約  その 内容  異なり ます 車両  所有  被 保険  自身 その 配偶  ある  生じ  損害 被 保険   運転      生じ  損害 事故 により 損害  発生     被 保険  父母 配偶 もしくは 子 または  もしくは 被 保険  所有 使用 または 管理 財物  あっ  車両  盗難  駐 停車  当て逃げ によって 被 保険  生じ  損害 無 免許 運転  酒気 帯び 運転 によって 被 保険  生じ  損害 車両  存在 欠陥 摩滅 腐 しょく さび 自然  消耗 または 故障 損害 法令 により 定め られ  点検 検査 において 発見    故障 によって 生じ  損害 燃料  不足 蓄電池  充電 不足 放電 キー  紛失 により 車両  走行 不能  なっ   損害 戦争 外国  武力 行使 内乱 暴動 核 燃料 物質 によって 生じ  損害,被保険者
268,268,マイカー シェア  クルマ 受渡し 返却 における 注意 教え  ください よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,外国 登録 証明 書 在留  資格  特別 永住   限り ます 国土 交通省 ホームページ   リンク 車両  日常 点検 項目  国土 交通省  ホームページ   確認 ください  本人 確認 書類  オーナー  自身 にて  判断  お願い いたし ます ⑩ 満 タン 給油  車両  給油  満 タン  なっ  いる  確認  まし   受渡し 返却 特別 永住 証明 書 在留 カード 旅券 パスポート 健康 保険 被 保険 証 運転 免許 証  公的 本人 確認 書類 ⑭ 緊急  トラブル 発生  連絡 連絡 手段  確認  まし   受渡し 返却 ⑬ 車両  返却 時間 場所  使用 条件 喫煙 ペット 可否  アプリ  確認  まし   受渡し 個人 番号 カード 個人 番号 カード  みなさ 写真 住民 台帳 カード  含み ます ⑫ 車内  汚れ  状態  貴重 忘れ物  確認  行い まし   受渡し 返却 ⑨ アプリ  傷 確認 機能  利用   車両  傷  確認  行い まし   受渡し 返却 ⑦ 相手  運転 免許 証  車両  車検 証  有効 期限  ある  確認  まし   受渡し マイカー シェア  クルマ 受渡し 返却 における 注意 教え  ください No 公開 日時 ⑧ 車両  日常 点検  行い 車両  安全  走行 できる 状態  ある  確認  まし   受渡し マイカー シェア  個人 間   カー シェアリング 共同 使用 です  本人 確認  点検 整備 車両 状態  確認 車両  共同 使用  ある オーナー ドライバー  本人  行っ  頂き ます マイカー シェア  安全 快適   利用 頂き 事故 トラブル  防止 車両  受渡し 返却  オーナー ドライバー 双方   確認  頂き たい  項目   通り です ① オーナー ドライバー  共同 使用  合意    車両  ある  確認  まし   受渡し 返却 ② 車両  受渡し 返却  法令 許容   安全  確認 できる 場所  行っ   ます  受渡し 返却 ③ オーナー ドライバー  本人  ある   運転 免許 証  確認  まし   受渡し ④ リクエスト 承認 メッセージ  ある 免許 証  撮影 ボタン  押し ドライバー  免許 証  撮影    登録  免許 証  一致   いる   確認  まし   受渡し ⑤ ドライバー  本人  ある  アプリ  予約 詳細 画面  表示  顔 写真 ID セルフィー  確認  まし   受渡し ⑥ ドライバー  本人  ある  ドライバー  持参   運転 免許 証  公的 本人 確認 書類  確認  まし   受渡し ⑪ 車両  給油 方法 油 種  確認  まし   受渡し,オーナー ご自身
269,269,マイカー シェア 利用  ガソリン 代  誰  負担  でしょ   よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,満 タン 給油   やむを得  ない 理由 により ドライバー  給油 前  返却      当事者 間  責任 において 実費  範囲  必要  精算  行う 様  お願い いたし ます 満 タン 給油  オーナー  受渡  満 タン 電気 自動車   満 充電 同様  受渡し ドライバー  満 タン  返却  ます 満 タン 給油 不要  満 タン   受渡し 返却  不要 です オーナー ドライバー  必要  応じ  給油 電気 自動車   充電  行い 車両  受渡し 返却  行っ  ください オーナー  車両  満 タン 給油  満 タン 給油 不要  設定  行い ます ので オーナー ドライバー  その 設定 内容 に従い 負担  ます マイカー シェア 利用  ガソリン 代  誰  負担  でしょ   No,満タン 給油
270,270,マイカー シェア  利用 に際して トラブル  巻き込ま  ない  心配 です トラブル  避ける  予め 注意 すべ よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,車両  受渡し   対面  運転 免許 証  原本  アプリ  表示    いる 情報  確認   本人  ある  必ず  確認 いただく 車両  受渡し および 返却   チェック シート 安心 安全   利用 いただく   活用   車両  点検 整備  必ず 行っ  いただく やむを得ない 理由 により 予約  キャンセル  受渡し  返却  時間  遅れる   カーシェアアプリ  チャット 機能  電話 機能  事前  相手   連絡  いただく 車両 受渡し および 返却   傷 確認 機能  活用   その 場  車両  傷 故障 汚損  状況  確認  必ず 行い 問題  発見     両者  協議  うえ 解決 いただく 車両  受渡し および 返却  法令 許容   安全  十分  確保 できる 場所  行っ  いただく ドライバー  車両  使用  駐車 違反 速度 違反  事故  発生    法令 課さ 義務  履行 とともに 直ちに オーナー  連絡  うえ 対応 協議 いただく 事故   保険 会社  連携   事故 対応  行う とともに 保険 会社  修理 業者 による 対応 状況  進捗 オーナー   連絡  密  行う 募集 文書 番号 作成  マイカー シェア  利用 に際して トラブル  巻き込ま  ない  心配 です トラブル  避ける  予め 注意  べき  あり ます  No 更新 日時 共同 使用 契約  締結 に際して   確認  たい 事項  あれ   カーシェアアプリ  チャット 機能  連絡  取り合い 相手   確認 いただく マイカー シェア  個人 間  車両  共同 使用  行う  サービス です その 共同 使用 に関して 生じ  トラブル 紛争  お客 さま  自身  解決  いただく 様  お願い    ます 状況 により 問題 解決  向け  カーシェアサポートセンター にて 可能  範囲  サポート    いただき ます マイカー シェア   利用 に際して  会員 様 同士  快適  楽しく カー シェア   利用 いただける 様   ルール  守っ  無用  トラブル  避ける  協力  お願い  ます トラブル  避ける   注意 いただき たい マイカー シェア  利用 に際して 事前   必ず  確認 いただく 保険  補償  受け られ ない お客 さま  不利益  なる 事項  注意 事項  ある 保険 に関する 約款 および 重要 事項 説明  必ず  確認 いただく,トラブル
271,271,マイカー シェア  保険 教え  ください よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,マイカー シェア  保険 教え  ください 更新 日時 No ドライバー による  予約   ドコモ  指定 自動車 保険 東京 海上 日動 火災 保険 株式会社  提供 ちょい のり 保険 自動車 保険 車両 補償 あり プラン プレミアム または スタンダード    加入  必須  なり ます ので 保険  掛け 漏れ  心配  ござい ませ  募集 文書 番号 作成  ただし お客様  補償  受け られ ない  免責 金額  定め られ  いる  あり ます ので 保険 に関する 約款 および 重要 事項 説明  必ず 確認  内容   了承  うえ  予約   申し込み ください 自動車 保険  補償 内容  料金 保険 会社  問い合わせ  カーシェアアプリ または  カーシェアサイト  ヘルプ  確認 いただけ ます,自動車 保険
272,272,マイカー シェア  ドライバー 予約 キャンセル  でき ます  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス, カーシェアアプリ  マイ ガレージ  利用 履歴 キャンセル  手続き    ください キャンセル に際して  キャンセル  発生  あり ます 詳細  マイカー シェア  ドライバー 予約 キャンセル  でき ます  更新 日時 オーナー および ドライバー  互いに 快適  マナー  守っ  マイカー シェア   利用 いただける 様  やむなく キャンセル  行う  事前  チャット 機能  相手   連絡     キャンセル  行う 例えば 直前  無断 キャンセル  控える 様  お願い  ます No  確認   ください,キャンセル
273,273,マイカー シェア  共同 使用  期日  受取ら なかっ   どう なり ます  よく ある  質問 カー シェア なら  カー シェア ドコモ  カー シェアリング サービス,docomo bill ne jp mail apl spmode ne jp dmkt sp jp mail apl spmode ne jp メッセージ  または メール  受信 に際して 迷惑 メール  設定    いる  ドメイン  受信 許可 設定    おく 必要  あり ます なお か月 間 受取り  確認 でき なかっ  料金  以後 受取る  でき なく なり ます ので  注意 ください 受取り  確認 でき なかっ  ドコモ 翌月 再度 送金 案内  メッセージ  または メール にて 送付 いたし ます マイカー シェア  共同 使用  期日  受取ら なかっ   どう なり ます  No,apl
